passenger_id,class,class_name,arrival_time,service_time,service_start_time,completion_time,turnaround_time,assigned_counter_id
1,3,Economy,0,7,0,7,7,C1
2,1,First,0,12,0,12,12,C2
3,3,Economy,1,5,1,6,5,C3
4,2,Business,2,9,2,11,9,C4
5,3,Economy,3,4,3,7,4,C5
6,3,Economy,3,8,6,14,11,C3
7,1,First,5,15,7,22,17,C1
8,2,Business,5,10,7,17,12,C5
9,3,Economy,6,3,11,14,8,C4
10,3,Economy,7,6,12,18,11,C2
11,2,Business,8,11,14,25,17,C3
12,3,Economy,9,5,14,19,10,C4
13,3,Economy,10,9,17,26,16,C5
14,1,First,10,14,18,32,22,C2
15,3,Economy,11,4,19,23,12,C4
16,2,Business,12,8,22,30,18,C1
17,3,Economy,13,6,23,29,16,C4
18,3,Economy,14,7,25,32,18,C3
19,1,First,15,13,26,39,24,C5
20,3,Economy,16,3,29,32,16,C4
21,2,Business,17,10,30,40,23,C1
22,3,Economy,18,5,32,37,19,C2
23,3,Economy,19,8,32,40,21,C3
24,2,Business,20,7,32,39,19,C4
25,3,Economy,21,4,37,41,20,C2
26,1,First,22,11,39,50,28,C4
27,3,Economy,23,6,39,45,22,C5
28,3,Economy,25,9,40,49,24,C1
29,2,Business,25,8,40,48,23,C3
30,3,Economy,27,5,41,46,19,C2
31,3,Economy,28,7,45,52,24,C5
32,1,First,30,12,46,58,28,C2
33,2,Business,30,9,48,57,27,C3
34,3,Economy,31,3,49,52,21,C1
35,3,Economy,33,6,50,56,23,C4
36,3,Economy,35,8,52,60,25,C1
37,2,Business,35,10,52,62,27,C5
38,3,Economy,37,4,56,60,23,C4
39,3,Economy,38,7,57,64,26,C3
40,1,First,40,14,58,72,32,C2
41,3,Economy,41,5,60,65,24,C1
42,2,Business,43,9,60,69,26,C4
43,3,Economy,44,6,62,68,24,C5
44,3,Economy,45,3,64,67,22,C3
45,3,Economy,47,8,65,73,26,C1
46,1,First,50,11,67,78,28,C3
47,2,Business,52,7,68,75,23,C5
48,3,Economy,54,5,69,74,20,C4
49,3,Economy,56,9,72,81,25,C2
50,3,Economy,58,4,73,77,19,C1
