passenger_id,class,class_name,arrival_time,service_time,service_start_time,completion_time,turnaround_time,assigned_counter_id
1,3,Economy,0,7,0,7,7,C2
2,1,First,0,12,0,12,12,C1
3,3,Economy,1,5,1,6,5,C3
4,2,Business,2,9,2,11,9,C4
5,3,Economy,3,4,3,7,4,C5
6,3,Economy,3,8,6,14,11,C3
7,1,First,5,15,7,22,17,C5
8,2,Business,5,10,7,17,12,C2
9,3,Economy,6,3,11,14,8,C4
10,3,Economy,7,6,14,20,13,C3
11,2,Business,8,11,17,28,20,C2
12,3,Economy,9,5,14,19,10,C4
13,3,Economy,10,9,23,32,22,C3
14,1,First,10,14,12,26,16,C1
15,3,Economy,11,4,19,23,12,C4
16,2,Business,12,8,23,31,19,C4
17,3,Economy,13,6,22,28,15,C5
18,3,Economy,14,7,32,39,25,C3
19,1,First,15,13,26,39,24,C1
20,3,Economy,16,3,20,23,7,C3
21,2,Business,17,10,35,45,28,C2
22,3,Economy,18,5,28,33,15,C5
23,3,Economy,19,8,42,50,31,C3
24,2,Business,20,7,28,35,15,C2
25,3,Economy,21,4,31,35,14,C4
26,1,First,22,11,33,44,22,C5
27,3,Economy,23,6,35,41,18,C4
28,3,Economy,25,9,53,62,37,C4
29,2,Business,25,8,44,52,27,C5
30,3,Economy,27,5,41,46,19,C4
31,3,Economy,28,7,46,53,25,C4
32,1,First,30,12,39,51,21,C1
33,2,Business,30,9,45,54,24,C2
34,3,Economy,31,3,39,42,11,C3
35,3,Economy,33,6,52,58,25,C5
36,3,Economy,35,8,58,66,31,C5
37,2,Business,35,10,54,64,29,C2
38,3,Economy,37,4,50,54,17,C3
39,3,Economy,38,7,62,69,31,C3
40,1,First,40,14,51,65,25,C1
41,3,Economy,41,5,57,62,21,C3
42,2,Business,43,9,64,73,30,C2
43,3,Economy,44,6,62,68,24,C4
44,3,Economy,45,3,54,57,12,C3
45,3,Economy,47,8,68,76,29,C4
46,1,First,50,11,65,76,26,C1
47,2,Business,52,7,71,78,26,C5
48,3,Economy,54,5,66,71,17,C5
49,3,Economy,56,9,73,82,26,C2
50,3,Economy,58,4,69,73,15,C3
