passenger_id,class,class_name,arrival_time,service_time,service_start_time,completion_time,turnaround_time,assigned_counter_id
1,3,Economy,0,7,0,7,7,C2
2,1,First,0,12,0,12,12,C1
3,3,Economy,1,5,1,6,5,C3
4,2,Business,2,9,2,11,9,C4
5,3,Economy,3,4,3,7,4,C5
6,3,Economy,3,8,7,15,12,C5
7,1,First,5,15,6,21,16,C3
8,2,Business,5,10,7,17,12,C2
9,3,Economy,6,3,28,31,25,C5
10,3,Economy,7,6,32,38,31,C2
11,2,Business,8,11,12,23,15,C1
12,3,Economy,9,5,33,38,29,C4
13,3,Economy,10,9,34,43,33,C1
14,1,First,10,14,11,25,15,C4
15,3,Economy,11,4,38,42,31,C4
16,2,Business,12,8,17,25,13,C2
17,3,Economy,13,6,42,48,35,C4
18,3,Economy,14,7,43,50,36,C3
19,1,First,15,13,15,28,13,C5
20,3,Economy,16,3,48,51,35,C2
21,2,Business,17,10,21,31,14,C3
22,3,Economy,18,5,48,53,35,C4
23,3,Economy,19,8,51,59,40,C2
24,2,Business,20,7,25,32,12,C2
25,3,Economy,21,4,53,57,36,C4
26,1,First,22,11,23,34,12,C1
27,3,Economy,23,6,54,60,37,C5
28,3,Economy,25,9,57,66,41,C4
29,2,Business,25,8,25,33,8,C4
30,3,Economy,27,5,59,64,37,C1
31,3,Economy,28,7,59,66,38,C2
32,1,First,30,12,31,43,13,C3
33,2,Business,30,9,31,40,10,C5
34,3,Economy,31,3,60,63,32,C5
35,3,Economy,33,6,61,67,34,C3
36,3,Economy,35,8,63,71,36,C5
37,2,Business,35,10,38,48,13,C2
38,3,Economy,37,4,64,68,31,C1
39,3,Economy,38,7,66,73,35,C2
40,1,First,40,14,40,54,14,C5
41,3,Economy,41,5,66,71,30,C4
42,2,Business,43,9,43,52,9,C1
43,3,Economy,44,6,67,73,29,C3
44,3,Economy,45,3,68,71,26,C1
45,3,Economy,47,8,71,79,32,C1
46,1,First,50,11,50,61,11,C3
47,2,Business,52,7,52,59,7,C1
48,3,Economy,54,5,71,76,22,C4
49,3,Economy,56,9,71,80,24,C5
50,3,Economy,58,4,73,77,19,C2
