passenger_id,class,class_name,arrival_time,service_time,service_start_time,completion_time,turnaround_time,assigned_counter_id
1,3,Economy,0,7,0,7,7,C1
2,1,First,0,12,0,12,12,C2
3,3,Economy,1,5,1,6,5,C3
4,2,Business,2,9,2,11,9,C4
5,3,Economy,3,4,3,7,4,C5
6,3,Economy,3,8,7,15,12,C5
7,1,First,5,15,68,83,78,C4
8,2,Business,5,10,15,25,20,C5
9,3,Economy,6,3,6,9,3,C3
10,3,Economy,7,6,7,13,6,C1
11,2,Business,8,11,46,57,49,C4
12,3,Economy,9,5,9,14,5,C3
13,3,Economy,10,9,15,24,14,C4
14,1,First,10,14,63,77,67,C1
15,3,Economy,11,4,11,15,4,C4
16,2,Business,12,8,12,20,8,C2
17,3,Economy,13,6,13,19,6,C1
18,3,Economy,14,7,14,21,7,C3
19,1,First,15,13,61,74,59,C2
20,3,Economy,16,3,19,22,6,C1
21,2,Business,17,10,34,44,27,C5
22,3,Economy,18,5,20,25,7,C2
23,3,Economy,19,8,25,33,14,C2
24,2,Business,20,7,22,29,9,C1
25,3,Economy,21,4,21,25,4,C3
26,1,First,22,11,50,61,39,C2
27,3,Economy,23,6,24,30,7,C4
28,3,Economy,25,9,25,34,9,C5
29,2,Business,25,8,25,33,8,C3
30,3,Economy,27,5,29,34,7,C1
31,3,Economy,28,7,30,37,9,C4
32,1,First,30,12,59,71,41,C5
33,2,Business,30,9,34,43,13,C1
34,3,Economy,31,3,33,36,5,C2
35,3,Economy,33,6,33,39,6,C3
36,3,Economy,35,8,36,44,9,C2
37,2,Business,35,10,44,54,19,C5
38,3,Economy,37,4,37,41,4,C4
39,3,Economy,38,7,39,46,8,C3
40,1,First,40,14,66,80,40,C3
41,3,Economy,41,5,41,46,5,C4
42,2,Business,43,9,43,52,9,C1
43,3,Economy,44,6,44,50,6,C2
44,3,Economy,45,3,46,49,4,C3
45,3,Economy,47,8,49,57,10,C3
46,1,First,50,11,57,68,18,C4
47,2,Business,52,7,52,59,7,C1
48,3,Economy,54,5,54,59,5,C5
49,3,Economy,56,9,57,66,10,C3
50,3,Economy,58,4,59,63,5,C1
